DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
AREQUIPA;AREQUIPA;AREQUIPA;ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA;OPERATIVO;08:45 a 16:30;Avenida Daniel Alcides Carrión N° 505
TACNA;TACNA;TACNA;ORA TACNA;OPERATIVO;08:45 a 16:30;Calle Blondel S/N
AREQUIPA;AREQUIPA;AREQUIPA;OR AREQUIPA;OPERATIVO;08:45 a 16:45;Calle San Juan de Dios N° 122 y Santo Domingo N° 101
AREQUIPA;CAYLLOMA;CHIVAY;PAP CAYLLOMA;OPERATIVO;08:45 a 16:45;Calle Siglo XX S/N
AREQUIPA;CAMANA;CAMANA;AG CAMANA;OPERATIVO;08:45 a 16:45;Avenida Mariscal Castilla N° 221
AREQUIPA;CARAVELI;CARAVELÍ;PAP CARAVELI;OPERATIVO;08:45 a 16:45;Jirón Bolivar S/N
AREQUIPA;CASTILLA;APLAO;PAP CASTILLA;OPERATIVO;08:45 a 16:45;Calle Progreso S/N
AREQUIPA;CONDESUYOS;CHUQUIBAMBA;PAP CONDESUYOS;OPERATIVO;08:45 a 16:45;Avenida Alameda S/N - Los Tres Errantes
AREQUIPA;ISLAY;MOLLENDO;AG ISLAY;OPERATIVO;08:45 a 16:45;Calle Arequipa Nº 261 
AREQUIPA;LA UNION;COTAHUASI;PAP LA UNION;OPERATIVO;08:45 a 16:45;Calle Centenario N° 202 - Cotahuasi
MOQUEGUA;MARISCAL NIETO;MOQUEGUA;ORA HOSPITAL REGIONAL MOQUEGUA;OPERATIVO;08:45 a 16:30;Avenida Simón Bolívar N° 505
MOQUEGUA;MARISCAL NIETO;MOQUEGUA;AG MARISCAL NIETO;OPERATIVO;08:45 a 16:45;Calle Lima Nº 676
MOQUEGUA;ILO;ILO;AG ILO;OPERATIVO;08:45 a 16:45;Jirón Ayacucho N° 529
AREQUIPA;CAYLLOMA;MAJES;AG MAJES;OPERATIVO;08:45 a 16:45;Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
AREQUIPA;AREQUIPA;CAYMA;AG CAYMA;OPERATIVO;08:45 a 16:45;Avenida Ramón Castilla S/N - Estadio La Tomilla
